ts,open,high,low,close,volume
2023-01-01,16546.1,16625.0,16502.0,16615.1,1183.63099648
2023-01-02,16615.1,16799.3,16548.1,16673.3,3519.3678197
2023-01-03,16673.3,16774.0,16610.4,16676.8,2446.24479168
2023-01-04,16676.8,16988.0,16655.4,16852.0,5180.0302387
2023-01-05,16852.0,16879.2,16760.1,16832.5,2382.33745742
2023-01-06,16832.5,17034.5,16680.7,16950.6,4263.23719258
2023-01-07,16950.7,16980.0,16908.7,16945.5,1283.06211406
2023-01-08,16945.6,17179.7,16915.0,17129.3,2523.27722002
2023-01-09,17129.3,17395.7,17107.2,17181.2,6496.33183351
2023-01-10,17181.1,17486.4,17150.3,17439.0,4478.85486699
2023-01-11,17439.0,18000.0,17320.9,17945.2,5290.87915966
2023-01-12,17945.1,19112.6,17909.0,18844.2,19383.04289745
2023-01-13,18844.2,20004.0,18715.9,19928.4,12365.85532114
2023-01-14,19928.5,21482.8,19895.0,20950.7,24979.26833161
2023-01-15,20950.7,21063.8,20555.3,20874.4,7576.22711233
2023-01-16,20873.1,21465.3,20603.0,21183.8,13166.34125102
2023-01-17,21183.9,21634.5,20839.7,21125.5,11111.67542555
2023-01-18,21127.0,21664.6,20400.0,20674.2,17923.68056633
2023-01-19,20672.5,21179.1,20660.0,21072.7,5121.22874896
2023-01-20,21072.7,22747.0,20860.4,22665.6,9709.04400774
2023-01-21,22665.7,23379.0,22428.6,22779.0,13097.75263527
2023-01-22,22780.0,23074.4,22306.6,22708.5,7528.72532666
2023-01-23,22708.4,23185.2,22498.1,22914.8,7435.6719079
2023-01-24,22914.9,23159.8,22457.1,22629.6,7434.18357827
2023-01-25,22629.6,23818.7,22332.1,23052.6,11239.30265716
2023-01-26,23060.8,23284.0,22847.6,23010.0,6168.26544179
2023-01-27,23010.1,23500.0,22526.3,23074.8,9040.75025303
2023-01-28,23074.8,23185.0,22879.4,23025.1,3021.35178003
2023-01-29,23025.1,23963.0,22970.7,23740.0,8947.27928478
2023-01-30,23743.7,23798.1,22483.0,22825.1,10643.76820035
