ts,open,high,low,close,volume
2022-06-13,1435.19,1455.55,1164.4,1209.51,848814.770738
2022-06-14,1209.82,1269.21,1075.02,1208.89,692524.967046
2022-06-15,1208.89,1250.0,1012.17,1237.76,893564.115955
2022-06-16,1237.69,1257.78,1052.0,1068.42,285271.169419
2022-06-17,1068.43,1118.0,1051.13,1086.59,188253.220211
2022-06-18,1086.62,1097.65,881.0,995.2,406620.303658
2022-06-19,995.06,1159.0,936.1,1128.17,489339.875383
2022-06-20,1128.06,1170.57,1052.56,1128.51,289396.201105
2022-06-21,1128.5,1193.74,1109.21,1126.1,273990.907137
2022-06-22,1125.98,1127.4,1043.34,1050.12,237029.489605
2022-06-23,1050.12,1154.19,1045.0,1144.41,210107.810495
2022-06-24,1144.27,1245.95,1131.0,1224.85,363510.239735
2022-06-25,1225.0,1257.0,1180.09,1241.98,242469.438313
2022-06-26,1241.94,1280.0,1195.0,1198.02,228401.072014
2022-06-27,1198.02,1239.32,1173.01,1192.31,210207.737024
2022-06-28,1192.31,1239.85,1136.01,1144.19,295519.300477
2022-06-29,1144.11,1157.32,1087.0,1100.04,351817.886431
2022-06-30,1100.08,1106.8,997.51,1071.44,395803.970047
2022-07-01,1071.43,1117.83,1033.33,1059.53,384116.590187
2022-07-02,1059.53,1079.11,1028.17,1066.95,159418.841354
2022-07-03,1066.93,1088.06,1040.49,1074.12,125749.737421
2022-07-04,1074.12,1161.0,1045.0,1150.94,227418.934836
2022-07-05,1151.01,1175.0,1076.85,1132.67,264326.359737
2022-07-06,1132.59,1205.0,1111.51,1186.49,239052.590092
2022-07-07,1186.48,1253.99,1162.36,1237.25,171136.619776
2022-07-08,1237.25,1276.8,1193.33,1214.17,230258.156313
2022-07-09,1213.85,1234.76,1204.39,1217.0,103991.497207
2022-07-10,1217.02,1220.05,1152.12,1168.42,144096.713831
2022-07-11,1168.32,1171.2,1091.07,1096.46,140421.419057
2022-07-12,1096.31,1098.44,1033.25,1038.63,161880.794782
2022-07-13,1038.52,1119.55,1006.0,1114.9,304708.273297
