ts,open,high,low,close,volume,funding
2022-06-13,26582.3,26895.9,21910.1,22478.0,446927.33,-2.74309119052e-05
2022-06-14,22479.4,23374.3,20827.4,22139.1,358269.46,-2.74309119052e-05
2022-06-15,22139.1,22810.0,20080.0,22586.4,423504.85,-2.74309119052e-05
2022-06-16,22583.6,23000.0,20210.0,20397.2,206113.61,-2.74309119052e-05
2022-06-17,20398.5,21368.8,20233.2,20469.8,173559.94,-2.74309119052e-05
2022-06-18,20468.7,20778.0,17580.0,18972.5,286913.86,-2.74309119052e-05
2022-06-19,18971.8,20850.0,17954.1,20571.1,260142.85,-2.74309119052e-05
2022-06-20,20570.9,21112.6,19635.0,20580.8,214624.69,-2.74309119052e-05
2022-06-21,20579.1,21749.2,20350.8,20723.4,200113.92,-2.74309119052e-05
2022-06-22,20727.1,20897.5,19755.4,19993.4,198227.9,-2.74309119052e-05
2022-06-23,19993.4,21246.5,19887.1,21106.9,174850.09,-2.74309119052e-05
2022-06-24,21107.0,21562.9,20728.0,21237.8,159191.37,-2.74309119052e-05
2022-06-25,21237.2,21632.0,20888.0,21489.6,104937.39,-2.74309119052e-05
2022-06-26,21489.7,21890.0,20950.0,21038.1,108329.87,-2.74309119052e-05
2022-06-27,21038.1,21550.0,20419.7,20740.4,121079.11,-2.74309119052e-05
2022-06-28,20740.6,21222.0,20196.7,20280.9,135774.46,-2.74309119052e-05
2022-06-29,20280.9,20444.0,19850.0,20117.0,143946.05,-2.74309119052e-05
2022-06-30,20118.8,20167.0,18598.9,19941.6,189921.74,-2.74309119052e-05
2022-07-01,19940.9,20979.0,18952.0,19281.3,216602.9,-2.74309119052e-05
2022-07-02,19282.0,19456.4,18976.6,19248.5,92278.27,-2.74309119052e-05
2022-07-03,19248.5,19659.3,18777.0,19315.7,104690.43,-2.74309119052e-05
2022-07-04,19315.6,20363.0,19051.1,20235.2,148650.19,-2.74309119052e-05
2022-07-05,20235.2,20755.0,19285.0,20178.5,198967.69,-2.74309119052e-05
2022-07-06,20178.5,20675.0,19765.1,20567.4,163623.34,-2.74309119052e-05
2022-07-07,20560.8,21839.1,20255.7,21614.8,163863.26,-2.74309119052e-05
2022-07-08,21615.7,22549.8,21183.7,21595.7,234210.95,-2.74309119052e-05
2022-07-09,21595.7,21977.0,21320.2,21589.6,107837.53,-2.74309119052e-05
2022-07-10,21588.5,21605.7,20650.0,20861.6,116779.06,-2.74309119052e-05
2022-07-11,20863.6,20863.9,19876.6,19970.4,133193.69,-2.74309119052e-05
2022-07-12,19967.3,20055.0,19236.0,19333.4,152628.74,-2.74309119052e-05
2022-07-13,19331.3,20350.0,18910.0,20231.7,230415.56,-2.74309119052e-05
2022-07-14,20231.6,20911.0,19620.0,20594.1,197070.31,-2.74309119052e-05
2022-07-15,20593.0,21219.3,20374.5,20831.4,157006.41,-2.74309119052e-05
2022-07-16,20830.0,21588.0,20480.1,21192.6,123372.83,-2.74309119052e-05
2022-07-17,21192.6,21674.0,20750.0,20800.5,119977.99,-2.74309119052e-05
2022-07-18,20800.5,22779.8,20769.6,22437.3,242087.32,-2.74309119052e-05
2022-07-19,22437.4,23822.3,21582.6,23391.1,293548.96,-2.74309119052e-05
2022-07-20,23391.1,24278.0,22913.8,23228.8,246258.47,-2.74309119052e-05
