ts,open,high,low,close,volume,funding
2022-06-13,1435.25,1455.61,1163.27,1209.65,12549856.6,6.48593391074e-05
2022-06-14,1209.77,1270.81,1073.9,1209.4,9592214.7,6.48593391074e-05
2022-06-15,1209.27,1252.31,1013.0,1237.4,11776691.6,6.48593391074e-05
2022-06-16,1237.18,1257.7,1050.22,1068.35,6252485.1,6.48593391074e-05
2022-06-17,1068.44,1119.0,1050.28,1086.62,4711935.8,6.48593391074e-05
2022-06-18,1086.62,1098.0,878.73,994.68,7546403.6,6.48593391074e-05
2022-06-19,994.86,1160.0,935.69,1127.96,7308995.9,6.48593391074e-05
2022-06-20,1128.24,1171.64,1052.12,1128.34,6375683.3,6.48593391074e-05
2022-06-21,1128.33,1195.0,1108.54,1125.92,5018730.8,6.48593391074e-05
2022-06-22,1125.92,1127.42,1043.07,1050.31,5535500.9,6.48593391074e-05
2022-06-23,1050.32,1155.77,1044.5,1144.1,4436544.2,6.48593391074e-05
2022-06-24,1143.81,1247.0,1131.41,1224.91,5017682.4,6.48593391074e-05
2022-06-25,1224.9,1257.54,1180.02,1241.99,3480409.7,6.48593391074e-05
2022-06-26,1241.99,1283.0,1194.34,1197.57,3663704.2,6.48593391074e-05
2022-06-27,1197.7,1238.0,1171.0,1192.32,3586872.0,6.48593391074e-05
2022-06-28,1192.3,1240.0,1136.0,1144.46,4743745.8,6.48593391074e-05
2022-06-29,1144.45,1157.0,1087.17,1099.99,5136337.9,6.48593391074e-05
2022-06-30,1100.0,1106.98,996.0,1071.54,6641695.4,6.48593391074e-05
2022-07-01,1071.64,1119.0,1033.14,1059.63,6152870.8,6.48593391074e-05
2022-07-02,1059.65,1079.5,1027.28,1067.0,3200425.5,6.48593391074e-05
2022-07-03,1067.0,1089.0,1040.2,1074.0,2842511.0,6.48593391074e-05
2022-07-04,1073.89,1160.87,1045.0,1150.67,4709682.8,6.48593391074e-05
2022-07-05,1150.57,1177.1,1077.0,1132.04,5821347.7,6.48593391074e-05
2022-07-06,1132.13,1205.0,1111.3,1186.29,5356712.1,6.48593391074e-05
2022-07-07,1186.32,1254.5,1163.0,1237.5,4595438.4,6.48593391074e-05
2022-07-08,1237.64,1277.0,1193.46,1213.53,5652161.4,6.48593391074e-05
2022-07-09,1213.49,1235.38,1204.76,1217.0,2244914.1,6.48593391074e-05
2022-07-10,1216.9,1220.5,1152.73,1168.45,3077421.4,6.48593391074e-05
