ts,open,high,low,close,volume,funding
2022-06-13,30.57,31.1,26.02,28.59,17810603.0,0.0001
2022-06-14,28.6,32.24,25.82,29.57,14035918.0,0.0001
2022-06-15,29.58,34.88,26.78,34.72,12831735.0,0.0001
2022-06-16,34.73,36.09,29.53,30.11,9928833.0,0.0001
2022-06-17,30.12,32.16,29.25,30.71,6018358.0,0.0001
2022-06-18,30.71,32.07,27.1,31.99,10308604.0,0.0001
2022-06-19,31.98,35.43,28.68,34.19,11217844.0,0.0001
2022-06-20,34.19,36.92,31.71,35.25,9351213.0,0.0001
2022-06-21,35.26,39.21,34.21,36.43,7818864.0,0.0001
2022-06-22,36.43,36.88,33.65,34.13,7635850.0,0.0001
2022-06-23,34.14,38.66,33.9,38.16,7537571.0,0.0001
2022-06-24,38.15,42.99,37.67,41.93,6541374.0,0.0001
2022-06-25,41.92,42.68,39.75,42.23,4719815.0,0.0001
2022-06-26,42.23,42.51,39.12,39.39,4601567.0,0.0001
2022-06-27,39.39,41.24,37.91,38.51,4628678.0,0.0001
2022-06-28,38.51,39.88,35.08,35.35,6401420.0,0.0001
2022-06-29,35.34,36.1,33.08,34.05,6351076.0,0.0001
2022-06-30,34.05,34.18,30.88,33.75,7614316.0,0.0001
2022-07-01,33.75,35.43,31.81,32.83,8063763.0,0.0001
2022-07-02,32.85,34.18,31.85,33.36,3627202.0,0.0001
2022-07-03,33.37,33.73,32.13,33.38,2722953.0,0.0001
2022-07-04,33.38,36.94,32.44,36.71,4220247.0,0.0001
2022-07-05,36.72,37.0,33.11,35.39,6361592.0,0.0001
2022-07-06,35.38,37.66,34.79,37.07,6159407.0,0.0001
2022-07-07,37.04,39.28,36.39,38.46,4353316.0,0.0001
2022-07-08,38.48,39.73,36.45,38.12,5548468.0,0.0001
2022-07-09,38.11,38.93,37.77,38.05,2436405.0,0.0001
2022-07-10,38.05,38.15,36.27,36.71,2620510.0,0.0001
2022-07-11,36.71,36.73,33.23,33.41,3621481.0,0.0001
2022-07-12,33.4,34.6,32.57,32.67,4209922.0,0.0001
2022-07-13,32.67,35.09,31.8,34.95,5958949.0,0.0001
2022-07-14,34.94,37.33,33.57,37.15,4117347.0,0.0001
2022-07-15,37.14,39.13,36.48,37.37,4380835.0,0.0001
2022-07-16,37.37,40.44,36.35,39.59,3945673.0,0.0001
2022-07-17,39.58,41.12,38.27,38.61,3954796.0,0.0001
2022-07-18,38.61,44.15,38.54,43.54,5653578.0,0.0001
2022-07-19,43.54,47.36,42.54,44.87,7610765.0,0.0001
2022-07-20,44.85,46.32,41.29,42.04,5281837.0,0.0001
2022-07-21,42.04,44.08,39.64,43.12,5776342.0,0.0001
2022-07-22,43.12,44.34,40.02,40.52,3653984.0,0.0001
2022-07-23,40.52,41.93,38.62,39.98,3046658.0,0.0001
2022-07-24,39.97,42.12,39.47,40.94,2777999.0,0.0001
2022-07-25,40.92,41.11,36.54,36.65,4288001.0,0.0001
2022-07-26,36.65,36.83,34.66,36.24,3843755.0,0.0001
2022-07-27,36.25,40.59,35.66,40.24,4993900.0,0.0001
2022-07-28,40.23,44.19,39.05,42.93,5907825.0,0.0001
2022-07-29,42.94,44.5,41.15,41.94,5079222.0,0.0001
2022-07-30,41.91,46.68,41.4,43.86,5537882.0,0.0001
2022-07-31,43.86,45.23,42.22,42.35,3196110.0,0.0001
2022-08-01,42.34,43.27,40.56,41.65,3027778.0,0.0001
2022-08-02,41.65,42.45,39.45,39.77,3683541.0,0.0001
2022-08-03,39.76,41.04,37.41,38.56,7938574.0,0.0001
2022-08-04,38.56,39.85,37.94,38.83,3919756.0,0.0001
2022-08-05,38.83,41.34,38.69,40.58,3540889.0,0.0001
2022-08-06,40.58,40.92,39.84,40.06,1668430.0,0.0001
2022-08-07,40.04,41.58,39.19,40.61,1705048.0,0.0001
2022-08-08,40.61,43.75,40.55,42.19,3602359.0,0.0001
2022-08-09,42.18,42.77,39.7,40.34,2657232.0,0.0001
2022-08-10,40.33,42.91,39.13,42.48,4414670.0,0.0001
2022-08-11,42.48,45.34,42.35,42.77,5048353.0,0.0001
2022-08-12,42.77,45.53,42.12,45.5,3289386.0,0.0001
2022-08-13,45.5,48.38,45.28,46.6,5205994.0,0.0001
2022-08-14,46.61,48.07,44.45,44.87,3318010.0,0.0001
2022-08-15,44.88,47.27,42.72,43.71,3923989.0,0.0001
2022-08-16,43.71,44.34,42.53,43.1,3086553.0,0.0001
2022-08-17,43.1,44.75,40.12,40.53,4411989.0,0.0001
2022-08-18,40.54,41.66,39.28,39.52,3219698.0,0.0001
2022-08-19,39.5,39.58,34.99,35.8,8338899.0,0.0001
2022-08-20,35.81,37.27,34.16,35.27,4420510.0,0.0001
2022-08-21,35.27,37.05,34.47,36.47,3777548.0,0.0001
2022-08-22,36.46,36.55,33.73,35.41,3910526.0,0.0001
2022-08-23,35.41,36.12,34.24,35.68,2597953.0,0.0001
2022-08-24,35.69,36.44,34.28,34.88,3088609.0,0.0001
2022-08-25,34.87,36.5,34.86,35.26,2592450.0,0.0001
2022-08-26,35.25,35.8,31.32,31.7,5523157.0,0.0001
2022-08-27,31.69,32.24,30.85,31.52,3073670.0,0.0001
2022-08-28,31.53,32.2,30.17,30.43,2286313.0,0.0001
2022-08-29,30.41,32.65,29.94,32.43,3721997.0,0.0001
2022-08-30,32.42,33.16,30.61,31.49,3022905.0,0.0001
2022-08-31,31.49,32.97,31.17,31.5,2559979.0,0.0001
2022-09-01,31.48,31.79,30.43,31.62,2219735.0,0.0001
2022-09-02,31.61,32.39,30.75,31.24,2007212.0,0.0001
2022-09-03,31.23,31.27,30.79,31.13,775497.0,0.0001
2022-09-04,31.12,32.18,31.0,32.17,1346690.0,0.0001
2022-09-05,32.17,32.52,31.14,32.18,1585814.0,0.0001
2022-09-06,32.18,33.9,30.42,30.89,3997338.0,0.0001
2022-09-07,30.89,32.96,30.3,32.71,2323850.0,0.0001
2022-09-08,32.72,34.0,32.0,33.63,2693529.0,0.0001
2022-09-09,33.62,36.0,33.59,34.68,3860427.0,0.0001
2022-09-10,34.69,35.42,34.27,35.04,1660444.0,0.0001
2022-09-11,35.05,36.05,34.04,34.98,1957388.0,0.0001
2022-09-12,34.99,38.42,34.37,37.45,5191563.0,0.0001
2022-09-13,37.45,38.96,32.89,32.97,5950539.0,0.0001
2022-09-14,32.98,34.37,32.65,34.13,2378045.0,0.0001
2022-09-15,34.12,34.86,32.38,33.08,2923347.0,0.0001
2022-09-16,33.1,33.26,31.49,32.27,1947292.0,0.0001
2022-09-17,32.26,33.92,32.23,33.7,1094945.0,0.0001
2022-09-18,33.7,34.0,30.83,31.09,2121019.0,0.0001
2022-09-19,31.09,33.1,30.47,32.64,2597086.0,0.0001
2022-09-20,32.63,32.88,31.28,31.42,1978939.0,0.0001
2022-09-21,31.43,33.49,30.0,30.62,5087288.0,0.0001
2022-09-22,30.63,32.88,30.58,32.42,2130016.0,0.0001
2022-09-23,32.43,33.98,31.21,33.68,2666945.0,0.0001
2022-09-24,33.68,34.79,33.14,33.39,2874631.0,0.0001
2022-09-25,33.39,34.06,31.85,32.33,1852320.0,0.0001
2022-09-26,32.31,33.95,31.86,33.88,2442097.0,0.0001
2022-09-27,33.88,35.43,32.07,32.68,3596852.0,0.0001
2022-09-28,32.68,33.82,31.63,33.23,2599532.0,0.0001
2022-09-29,33.24,34.43,32.63,33.93,2577260.0,0.0001
2022-09-30,33.94,35.22,32.61,33.23,3254125.0,0.0001
2022-10-01,33.25,33.25,32.31,32.45,1561801.0,0.0001
2022-10-02,32.44,33.01,31.87,32.06,1277661.0,0.0001
2022-10-03,32.06,33.29,31.72,32.9,1583110.0,0.0001
2022-10-04,32.91,34.4,32.83,34.1,1753606.0,0.0001
2022-10-05,34.1,34.39,33.18,34.04,1410583.0,0.0001
2022-10-06,34.05,34.5,33.21,33.36,1402338.0,0.0001
2022-10-07,33.35,33.77,32.42,32.99,1733154.0,0.0001
2022-10-08,32.98,33.08,32.34,32.57,611965.0,0.0001
2022-10-09,32.58,33.13,32.45,32.92,672331.0,0.0001
2022-10-10,32.92,33.47,31.86,31.96,1389338.0,0.0001
2022-10-11,31.95,31.95,30.41,30.8,1417300.0,0.0001
2022-10-12,30.79,31.54,30.67,31.16,888233.0,0.0001
2022-10-13,31.15,31.2,27.81,30.48,4381511.0,0.0001
2022-10-14,30.48,31.98,29.62,29.98,2070584.0,0.0001
2022-10-15,29.99,30.21,29.42,29.58,1005777.0,0.0001
2022-10-16,29.59,30.54,29.55,30.16,795883.0,0.0001
2022-10-17,30.17,31.29,29.83,31.21,1454956.0,0.0001
2022-10-18,31.22,31.49,29.72,30.13,2002361.0,0.0001
2022-10-19,30.13,30.27,28.6,28.85,1697099.0,0.0001
2022-10-20,28.86,29.47,27.97,28.01,2377673.0,0.0001
2022-10-21,28.02,28.28,26.83,28.09,3967120.0,0.0001
2022-10-22,28.11,28.24,27.48,28.0,1574712.0,0.0001
2022-10-23,28.01,29.44,27.72,29.28,2717858.0,0.0001
2022-10-24,29.28,29.51,28.16,28.31,2590596.0,0.0001
2022-10-25,28.31,32.33,28.05,30.88,5957326.0,0.0001
2022-10-26,30.87,32.23,30.63,31.29,4493776.0,0.0001
2022-10-27,31.3,32.37,30.43,30.58,4322376.0,0.0001
2022-10-28,30.58,32.58,30.11,32.06,3768954.0,0.0001
2022-10-29,32.06,33.86,31.86,32.88,3989392.0,0.0001
2022-10-30,32.88,33.56,31.92,32.95,1981366.0,0.0001
2022-10-31,32.94,34.39,32.2,32.57,3582235.0,0.0001
2022-11-01,32.57,33.39,32.15,32.21,1758314.0,0.0001
2022-11-02,32.22,32.95,30.23,30.79,3728577.0,0.0001
2022-11-03,30.8,32.25,30.6,30.83,3030130.0,0.0001
2022-11-04,30.85,34.23,30.65,33.74,4437988.0,0.0001
2022-11-05,33.75,38.81,33.66,36.89,7694344.0,0.0001
2022-11-06,36.9,37.06,32.28,32.61,4979195.0,0.0001
2022-11-07,32.61,33.12,28.02,29.59,10628782.0,0.0001
2022-11-08,29.59,31.82,19.12,23.85,46416000.0,0.0001
2022-11-09,23.86,23.93,9.53,12.69,96498273.0,0.0001
2022-11-10,12.69,19.66,11.11,18.03,61767631.0,0.0001
2022-11-11,18.04,18.33,14.04,16.55,24776511.0,0.0001
2022-11-12,16.54,16.58,14.44,14.56,10148839.0,0.0001
2022-11-13,14.56,14.72,12.91,13.08,11411421.0,0.0001
2022-11-14,13.08,15.27,11.85,13.97,17339977.0,0.0001
2022-11-15,13.97,15.14,13.81,14.29,9242363.0,0.0001
2022-11-16,14.29,14.58,13.61,14.25,5621054.0,0.0001
2022-11-17,14.25,14.48,12.68,13.63,13513284.0,0.0001
2022-11-18,13.63,13.85,12.97,13.26,6544051.0,0.0001
2022-11-19,13.26,13.26,12.56,12.83,4978004.0,0.0001
2022-11-20,12.83,13.58,12.08,12.25,8161458.0,0.0001
2022-11-21,12.25,12.28,11.25,11.83,12109058.0,0.0001
2022-11-22,11.82,12.51,10.9,12.44,10199126.0,0.0001
2022-11-23,12.44,14.75,12.39,14.35,15083153.0,0.0001
2022-11-24,14.34,14.95,13.82,14.61,11898260.0,0.0001
2022-11-25,14.61,14.62,13.89,14.02,6684994.0,0.0001
2022-11-26,14.02,14.96,13.91,14.13,5694133.0,0.0001
2022-11-27,14.13,14.44,14.03,14.09,3810622.0,0.0001
2022-11-28,14.09,14.15,12.76,13.34,10296995.0,0.0001
2022-11-29,13.34,13.96,13.12,13.34,4289700.0,0.0001
2022-11-30,13.34,14.31,13.17,14.17,6185580.0,0.0001
2022-12-01,14.17,14.19,13.37,13.48,3991344.0,0.0001
2022-12-02,13.48,13.84,13.28,13.71,4053057.0,0.0001
2022-12-03,13.71,13.77,13.2,13.3,2364924.0,0.0001
2022-12-04,13.3,13.75,13.27,13.71,1809007.0,0.0001
2022-12-05,13.71,14.17,13.55,13.81,4340517.0,0.0001
2022-12-06,13.81,14.38,13.81,14.28,3807089.0,0.0001
2022-12-07,14.28,14.34,13.38,13.49,3180081.0,0.0001
2022-12-08,13.49,13.77,13.26,13.68,2391447.0,0.0001
2022-12-09,13.67,14.02,13.5,13.58,3176381.0,0.0001
2022-12-10,13.58,13.72,13.54,13.57,1034186.0,0.0001
2022-12-11,13.57,13.79,13.37,13.41,1212115.0,0.0001
2022-12-12,13.41,13.49,12.78,13.31,2859546.0,0.0001
2022-12-13,13.31,14.14,12.75,13.89,3852497.0,0.0001
2022-12-14,13.89,14.95,13.8,14.12,5650309.0,0.0001
2022-12-15,14.12,14.51,13.8,14.04,3920747.0,0.0001
2022-12-16,14.04,14.17,11.97,12.23,7059368.0,0.0001
2022-12-17,12.24,12.55,11.89,12.49,3761612.0,0.0001
2022-12-18,12.49,12.6,12.25,12.36,530240.0,0.0001
