ts,open,high,low,close,volume
2022-06-13 00:00:00,30.61,31.12,27.62,28.84,480930.984304
2022-06-13 04:00:00,28.84,29.69,27.22,27.55,357296.921232
2022-06-13 08:00:00,27.56,28.47,26.06,26.84,435687.757449
2022-06-13 12:00:00,26.83,28.26,26.11,27.91,401807.55348
2022-06-13 16:00:00,27.92,29.41,27.42,28.32,271811.808031
2022-06-13 20:00:00,28.32,29.89,26.98,28.6,258695.669884
2022-06-14 00:00:00,28.61,29.2,25.86,28.97,389577.024415
2022-06-14 04:00:00,28.95,32.23,28.07,31.01,387173.563091
2022-06-14 08:00:00,31.0,31.11,28.66,29.06,160857.783264
2022-06-14 12:00:00,29.1,31.39,28.37,31.03,231889.484623
2022-06-14 16:00:00,31.03,31.19,29.05,29.43,157636.965573
2022-06-14 20:00:00,29.44,30.04,28.0,29.57,144959.070551
2022-06-15 00:00:00,29.57,30.29,28.64,28.8,134097.535635
2022-06-15 04:00:00,28.79,28.83,27.38,27.65,214165.357597
2022-06-15 08:00:00,27.65,29.27,26.79,28.92,274953.785368
2022-06-15 12:00:00,28.92,30.4,28.62,29.51,238862.74123
2022-06-15 16:00:00,29.48,32.95,28.12,31.5,537353.987641
2022-06-15 20:00:00,31.49,34.87,30.82,34.74,247521.401114
2022-06-16 00:00:00,34.73,36.12,33.73,33.79,185268.097063
2022-06-16 04:00:00,33.78,34.27,32.45,32.61,127589.443082
2022-06-16 08:00:00,32.61,33.0,30.72,31.29,157686.090808
2022-06-16 12:00:00,31.28,32.55,30.05,31.32,232085.722806
2022-06-16 16:00:00,31.31,32.65,30.43,30.87,213910.771582
2022-06-16 20:00:00,30.84,31.59,29.56,30.12,139306.346876
2022-06-17 00:00:00,30.11,31.38,29.26,30.03,133307.543899
2022-06-17 04:00:00,30.04,31.94,29.94,31.57,112110.03632
2022-06-17 08:00:00,31.59,32.15,30.97,31.58,75040.408275
2022-06-17 12:00:00,31.58,32.05,30.85,31.2,139230.715423
2022-06-17 16:00:00,31.21,32.11,30.96,31.14,85605.115024
2022-06-17 20:00:00,31.13,31.74,30.57,30.72,41560.798719
2022-06-18 00:00:00,30.72,31.29,29.78,30.09,78365.564315
2022-06-18 04:00:00,30.09,30.42,28.12,28.48,149759.891171
2022-06-18 08:00:00,28.47,30.67,27.84,30.0,212455.022768
2022-06-18 12:00:00,30.01,30.46,29.51,29.81,82091.01461
2022-06-18 16:00:00,29.8,30.66,28.07,28.1,174440.665031
2022-06-18 20:00:00,28.1,32.05,27.14,32.0,333608.41268
2022-06-19 00:00:00,32.0,32.37,29.76,30.18,184370.039781
